time,d1_comms,d2_comms,d3_comms,archive_size
0.0,0,0,0,0
0.03125905990600586,0,0,0,0
0.06257176399230957,0,0,0,0
0.09431338310241699,0,0,0,0
0.125657320022583,0,0,0,0
0.15694475173950195,0,0,0,0
0.18835902214050293,0,0,0,0
0.21970558166503906,0,0,0,0
0.2510378360748291,0,0,0,0
0.28214216232299805,0,0,0,0
0.3138582706451416,0,0,0,0
0.345289945602417,0,0,0,0
0.3765251636505127,0,0,0,0
0.4081459045410156,0,0,0,0
0.4394545555114746,0,0,0,0
0.47064638137817383,0,0,0,0
0.5025951862335205,0,0,0,0
0.5339498519897461,0,0,0,0
0.565129280090332,0,0,0,0
0.5965042114257812,0,0,0,0
0.6280112266540527,0,0,0,0
0.6593074798583984,0,0,0,0
0.6920652389526367,0,0,0,0
0.7227835655212402,0,0,0,0
0.7544996738433838,0,0,0,0
0.7857182025909424,0,0,0,0
0.8181068897247314,0,0,0,0
0.8494670391082764,0,0,0,0
0.8806352615356445,0,0,0,0
0.9125561714172363,0,0,0,0
0.9438097476959229,0,0,0,0
0.9750056266784668,0,0,0,0
1.0067951679229736,0,0,0,0
1.0382390022277832,0,0,0,0
1.0694830417633057,0,0,0,0
1.1012189388275146,0,0,0,0
1.1329278945922852,0,0,0,0
1.1642708778381348,0,0,0,0
1.195704698562622,0,0,0,0
1.2271089553833008,0,0,0,0
1.2582964897155762,0,0,0,0
1.2890546321868896,0,0,0,0
1.3204779624938965,0,0,0,0
1.3516528606414795,0,0,0,0
1.3828966617584229,0,0,0,0
1.4143691062927246,0,0,0,0
1.4455437660217285,0,0,0,0
1.4767944812774658,0,0,0,0
1.5087037086486816,0,0,0,0
1.5398659706115723,0,0,0,0
1.571187973022461,0,0,0,0
1.602996587753296,0,0,0,0
1.6344025135040283,0,0,0,0
1.6656172275543213,0,0,0,0
1.6974561214447021,0,0,0,0
1.728867530822754,0,0,0,0
1.7600040435791016,0,0,0,0
1.7918403148651123,0,0,0,0
1.823134422302246,0,0,0,0
1.8546817302703857,0,0,0,0
1.8860218524932861,0,0,0,0
1.9187157154083252,0,0,0,0
1.949474573135376,0,0,0,0
1.9808123111724854,0,0,0,0
2.012408494949341,0,0,0,0
2.0440216064453125,0,0,0,0
2.0754759311676025,0,0,0,0
2.1073479652404785,0,0,0,0
2.1386873722076416,0,0,0,0
2.170015811920166,0,0,0,0
2.2018229961395264,0,0,0,0
2.2331485748291016,0,0,0,0
2.2643704414367676,0,0,0,0
2.296295642852783,0,0,0,0
2.327644109725952,0,0,0,0
2.3589301109313965,0,0,0,0
2.390137195587158,0,0,0,0
2.4219577312469482,0,0,0,0
2.453212022781372,0,0,0,0
2.484523296356201,0,0,0,0
2.5162291526794434,0,0,0,0
2.547478437423706,0,0,0,0
2.5787739753723145,0,0,0,0
2.610870599746704,0,0,0,0
2.642101764678955,0,0,0,0
2.673435926437378,0,0,0,0
2.7053794860839844,0,0,0,0
2.7367076873779297,0,0,0,0
2.768439769744873,0,0,0,0
2.800499439239502,0,0,0,0
2.83181095123291,0,0,0,0
2.8630623817443848,0,0,0,0
2.8949778079986572,0,0,0,0
2.926340103149414,0,0,0,0
2.9576706886291504,0,0,0,0
2.989325761795044,0,0,0,0
3.0209579467773438,0,0,0,0
3.05251145362854,0,0,0,0
3.0838987827301025,0,0,0,0
3.115718364715576,0,0,0,0
3.1470348834991455,0,0,0,0
3.1782968044281006,0,0,0,0
3.210089683532715,0,0,0,0
3.2414753437042236,0,0,0,0
3.272904396057129,0,0,0,0
3.3045451641082764,0,0,0,0
3.3358840942382812,0,0,0,0
3.3678412437438965,0,0,0,0
3.3991458415985107,0,0,0,0
3.4305050373077393,0,0,0,0
3.461817502975464,0,0,0,0
3.4929754734039307,0,0,0,0
3.5251054763793945,0,0,0,0
3.557068347930908,0,0,0,0
3.588364601135254,0,0,0,0
3.620206832885742,0,0,0,0
3.6513822078704834,0,0,0,0
3.682623863220215,0,0,0,0
3.7143943309783936,0,0,0,0
3.746058702468872,0,0,0,0
3.7779788970947266,0,0,0,0
3.8093907833099365,0,0,0,0
3.840683698654175,0,0,0,0
3.8723561763763428,0,0,0,0
3.9040932655334473,0,0,0,0
3.9354372024536133,0,1,0,0
3.9666833877563477,0,1,0,0
3.99802827835083,0,1,0,51
4.029512405395508,0,0,0,51
4.061332702636719,0,0,0,51
4.092716217041016,0,0,0,51
4.124966144561768,0,0,0,51
4.156327962875366,0,0,0,51
4.187558650970459,0,0,0,51
4.219758987426758,0,0,0,51
4.251142740249634,0,0,0,51
4.282294273376465,0,0,0,51
4.314100503921509,0,0,0,51
4.345533847808838,0,0,0,51
4.376924753189087,0,0,0,51
4.408746719360352,0,0,0,51
4.440029621124268,0,0,0,51
4.471291542053223,0,0,0,51
4.503178119659424,0,0,0,51
4.53444504737854,0,0,0,51
4.565716743469238,0,0,0,51
4.597593307495117,0,0,0,51
4.628868579864502,0,0,0,51
4.660160541534424,0,0,0,51
4.69139289855957,1,0,0,51
4.722983121871948,1,0,0,51
4.7543487548828125,1,0,0,102
4.785527229309082,0,0,0,102
4.817296743392944,0,0,0,102
4.8485753536224365,0,0,0,102
4.879883527755737,0,0,0,102
4.911583185195923,0,0,0,102
4.942923545837402,0,0,0,102
4.9742655754089355,0,0,0,102
5.005973815917969,0,0,0,102
5.037236928939819,0,0,0,102
5.068509578704834,0,0,0,102
5.099320411682129,0,0,0,102
5.130616903305054,0,0,0,102
5.161904335021973,0,0,0,102
5.193197011947632,0,0,0,102
5.225120782852173,0,0,0,102
